
################################################
# ITK-SnAP Label Description File
# File format:
# IDX   -R-  -G-  -B-  -A--  VIS MSH  LABEL
# Fields:
#    IDX:   Zero-based index
#    -R-:   Red color component (0..255)
#    -G-:   Green color component (0..255)
#    -B-:   Blue color component (0..255)
#    -A-:   Label transparency (0.00 .. 1.00)
#    VIS:   Label visibility (0 or 1)
#    IDX:   Label mesh visibility (0 or 1)
#  LABEL:   Label description
################################################
46	132	0	229	1	1	1	"R_A11l"
47	44	0	44	1	1	1	"L_A11m"
48	255	255	202	1	1	1	"R_A11m"
49	229	79	141	1	1	1	"L_A13"
50	176	255	211	1	1	1	"R_A13"
51	0	176	79	1	1	1	"L_A12/47l"
52	88	53	0	1	1	1	"R_A12/47l"
53	0	106	167	1	1	1	"L_A4hf"
54	149	167	229	1	1	1	"R_A4hf"
55	141	193	97	1	1	1	"L_A6cdl"
56	35	123	97	1	1	1	"R_A6cdl"
57	176	97	132	1	1	1	"L_A4ul"
58	176	0	62	1	1	1	"R_A4ul"
59	167	88	0	1	1	1	"L_A4t"
60	255	62	229	1	1	1	"R_A4t"
61	0	62	70	1	1	1	"L_A4tl"
62	149	255	62	1	1	1	"R_A4tl"
63	132	106	88	1	1	1	"L_A6cvl"
64	0	255	202	1	1	1	"R_A6cvl"
65	202	149	44	1	1	1	"L_A1/2/3ll"
66	255	0	62	1	1	1	"R_A1/2/3ll"
67	106	132	62	1	1	1	"L_A4ll"
68	0	62	255	1	1	1	"R_A4ll"
69	0	167	176	1	1	1	"L_A38m"
70	202	88	255	1	1	1	"R_A38m"
71	255	202	185	1	1	1	"L_A41/42"
72	106	44	106	1	1	1	"R_A41/42"
73	255	158	97	1	1	1	"L_TE1.0/TE1.2"
74	132	70	185	1	1	1	"R_TE1.0/TE1.2"
75	176	70	158	1	1	1	"L_A22c"
76	149	149	255	1	1	1	"R_A22c"
77	255	106	123	1	1	1	"L_A38l"
78	0	106	255	1	1	1	"R_A38l"
79	114	9	176	1	1	1	"L_A22r"
80	176	167	79	1	1	1	"R_A22r"
81	229	79	0	1	1	1	"L_A21c"
82	0	0	70	1	1	1	"R_A21c"
83	53	35	18	1	1	1	"L_A21r"
84	88	141	0	1	1	1	"R_A21r"
85	0	35	9	1	1	1	"L_A37dl"
86	26	211	18	1	1	1	"R_A37dl"
87	123	44	62	1	1	1	"L_aSTS"
88	88	88	132	1	1	1	"R_aSTS"
89	237	237	70	1	1	1	"L_A20iv"
90	0	62	0	1	1	1	"R_A20iv"
91	211	229	211	1	1	1	"L_A37elv"
92	114	0	0	1	1	1	"R_A37elv"
93	202	246	167	1	1	1	"L_A20r"
94	167	211	9	1	1	1	"R_A20r"
95	246	141	123	1	1	1	"L_A20il"
96	26	141	79	1	1	1	"R_A20il"
97	114	141	123	1	1	1	"L_A37vl"
98	193	0	132	1	1	1	"R_A37vl"
99	0	18	44	1	1	1	"L_A20cl"
100	106	220	202	1	1	1	"R_A20cl"
101	70	79	0	1	1	1	"L_A20cv"
102	149	97	44	1	1	1	"R_A20cv"
103	185	114	106	1	1	1	"L_A20rv"
104	0	26	141	1	1	1	"R_A20rv"
105	0	255	158	1	1	1	"L_A37mv"
106	255	176	9	1	1	1	"R_A37mv"
107	123	202	141	1	1	1	"L_A37lv"
108	123	237	97	1	1	1	"R_A37lv"
109	79	88	88	1	1	1	"L_A35/36r"
110	220	132	193	1	1	1	"R_A35/36r"
111	114	0	114	1	1	1	"L_A35/36c"
112	211	193	141	1	1	1	"R_A35/36c"
113	185	193	220	1	1	1	"L_TL"
114	79	97	176	1	1	1	"R_TL"
115	88	0	53	1	1	1	"L_A28/34"
116	193	79	97	1	1	1	"R_A28/34"
117	70	53	123	1	1	1	"L_TI"
118	220	193	53	1	1	1	"R_TI"
119	185	167	149	1	1	1	"L_TH"
120	220	97	229	1	1	1	"R_TH"
121	141	123	70	1	1	1	"L_rpSTS"
122	0	141	185	1	1	1	"R_rpSTS"
123	9	62	211	1	1	1	"L_cpSTS"
124	114	106	229	1	1	1	"R_cpSTS"
125	255	193	229	1	1	1	"L_A7r"
126	70	149	229	1	1	1	"R_A7r"
127	0	149	0	1	1	1	"L_A7c"
128	44	9	18	1	1	1	"R_A7c"
129	193	79	44	1	1	1	"L_A5l"
130	255	193	132	1	1	1	"R_A5l"
131	44	44	53	1	1	1	"L_A7pc"
132	53	220	255	1	1	1	"R_A7pc"
133	211	53	62	1	1	1	"L_A7ip"
134	141	106	141	1	1	1	"R_A7ip"
135	106	176	149	1	1	1	"L_A39c"
136	35	0	202	1	1	1	"R_A39c"
137	211	220	123	1	1	1	"L_A39rd"
138	123	53	0	1	1	1	"R_A39rd"
139	167	0	211	1	1	1	"L_A40rd"
140	18	79	114	1	1	1	"R_A40rd"
141	9	79	62	1	1	1	"L_A40c"
142	246	158	255	1	1	1	"R_A40c"
143	114	176	211	1	1	1	"L_A39rv"
144	106	62	53	1	1	1	"R_A39rv"
145	53	106	53	1	1	1	"L_A40rv"
146	220	62	185	1	1	1	"R_A40rv"
147	0	202	70	1	1	1	"L_A7m"
148	62	44	79	1	1	1	"R_A7m"
149	246	9	132	1	1	1	"L_A5m"
150	185	149	202	1	1	1	"R_A5m"
151	220	18	18	1	1	1	"L_dmPOS"
152	176	255	246	1	1	1	"R_dmPOS"
153	62	220	149	1	1	1	"L_A31"
154	167	202	70	1	1	1	"R_A31"
155	132	141	176	1	1	1	"L_A1/2/3ulhf"
156	88	53	185	1	1	1	"R_A1/2/3ulhf"
157	193	149	237	1	1	1	"L_A1/2/3tonIa"
158	97	114	0	1	1	1	"R_A1/2/3tonIa"
159	255	132	185	1	1	1	"L_A2"
160	185	0	97	1	1	1	"R_A2"
161	167	237	123	1	1	1	"L_A1/2/3tru"
162	255	246	0	1	1	1	"R_A1/2/3tru"
163	255	193	79	1	1	1	"L_G"
164	220	106	35	1	1	1	"R_G"
165	123	0	35	1	1	1	"L_vIa"
166	193	255	88	1	1	1	"R_vIa"
167	158	185	176	1	1	1	"L_dIa"
168	185	70	132	1	1	1	"R_dIa"
169	202	123	70	1	1	1	"L_vId/vIg"
170	176	106	202	1	1	1	"R_vId/vIg"
171	79	149	62	1	1	1	"L_dIg"
172	0	62	141	1	1	1	"R_dIg"
173	88	44	211	1	1	1	"L_dId"
174	246	79	176	1	1	1	"R_dId"
175	158	141	9	1	1	1	"L_A23d"
176	123	123	132	1	1	1	"R_A23d"
177	132	53	97	1	1	1	"L_A24rv"
178	106	158	106	1	1	1	"R_A24rv"
179	149	97	106	1	1	1	"L_A32p"
180	106	202	88	1	1	1	"R_A32p"
181	211	158	158	1	1	1	"L_A23v"
182	158	88	149	1	1	1	"R_A23v"
183	26	35	123	1	1	1	"L_A24cd"
184	62	9	79	1	1	1	"R_A24cd"
185	220	193	202	1	1	1	"L_A23c"
186	149	62	237	1	1	1	"R_A23c"
187	167	97	237	1	1	1	"L_A32sg"
188	97	79	44	1	1	1	"R_A32sg"
189	0	106	106	1	1	1	"L_cLinG"
190	255	246	123	1	1	1	"R_cLinG"
191	88	255	229	1	1	1	"L_rCunG"
192	211	237	255	1	1	1	"R_rCunG"
193	97	35	255	1	1	1	"L_cCunG"
194	106	9	141	1	1	1	"R_cCunG"
195	132	62	149	1	1	1	"L_rLinG"
196	106	114	79	1	1	1	"R_rLinG"
197	132	255	193	1	1	1	"L_vmPOS"
198	158	0	132	1	1	1	"R_vmPOS"
199	97	158	158	1	1	1	"L_mOccG"
200	202	0	202	1	1	1	"R_mOccG"
201	35	106	220	1	1	1	"L_V5/MT+"
202	35	44	0	1	1	1	"R_V5/MT+"
203	220	97	88	1	1	1	"L_OPC"
204	114	123	185	1	1	1	"R_OPC"
205	149	18	70	1	1	1	"L_iOccG"
206	211	202	255	1	1	1	"R_iOccG"
207	185	0	255	1	1	1	"L_msOccG"
208	0	158	141	1	1	1	"R_msOccG"
209	211	149	185	1	1	1	"L_lsOccG"
210	44	88	0	1	1	1	"R_lsOccG"
