index	name	color	x	y	z	networks	lobe
216	R_rHipp_Subcort	#808080	0	0	0	R_Subcort	subcortical
217	L_cHipp_Subcort	#808080	0	0	0	L_Subcort	subcortical
218	R_cHipp_Subcort	#808080	0	0	0	R_Subcort	subcortical
219	L_vCa_Subcort	#808080	0	0	0	L_Subcort	subcortical
220	R_vCa_Subcort	#808080	0	0	0	R_Subcort	subcortical
221	L_GP_Subcort	#808080	0	0	0	L_Subcort	subcortical
222	R_GP_Subcort	#808080	0	0	0	R_Subcort	subcortical
223	L_NAC_Subcort	#808080	0	0	0	L_Subcort	subcortical
224	R_NAC_Subcort	#808080	0	0	0	R_Subcort	subcortical
225	L_vmPu_Subcort	#808080	0	0	0	L_Subcort	subcortical
226	R_vmPu_Subcort	#808080	0	0	0	R_Subcort	subcortical
227	L_dCa_Subcort	#808080	0	0	0	L_Subcort	subcortical
228	R_dCa_Subcort	#808080	0	0	0	R_Subcort	subcortical
229	L_dlPu_Subcort	#808080	0	0	0	L_Subcort	subcortical
230	R_dlPu_Subcort	#808080	0	0	0	R_Subcort	subcortical
231	L_mPFtha_Subcort	#808080	0	0	0	L_Subcort	subcortical
232	R_mPFtha_Subcort	#808080	0	0	0	R_Subcort	subcortical
233	L_mPMtha_Subcort	#808080	0	0	0	L_Subcort	subcortical
234	R_mPMtha_Subcort	#808080	0	0	0	R_Subcort	subcortical
235	L_Stha_Subcort	#808080	0	0	0	L_Subcort	subcortical
236	R_Stha_Subcort	#808080	0	0	0	R_Subcort	subcortical
237	L_rTtha_Subcort	#808080	0	0	0	L_Subcort	subcortical
238	R_rTtha_Subcort	#808080	0	0	0	R_Subcort	subcortical
239	L_PPtha_Subcort	#808080	0	0	0	L_Subcort	subcortical
240	R_PPtha_Subcort	#808080	0	0	0	R_Subcort	subcortical
241	L_Otha_Subcort	#808080	0	0	0	L_Subcort	subcortical
242	R_Otha_Subcort	#808080	0	0	0	R_Subcort	subcortical
243	L_cTtha_Subcort	#808080	0	0	0	L_Subcort	subcortical
244	R_cTtha_Subcort	#808080	0	0	0	R_Subcort	subcortical
245	L_lPFtha_Subcort	#808080	0	0	0	L_Subcort	subcortical
246	R_lPFtha_Subcort	#808080	0	0	0	R_Subcort	subcortical
